participant_id,test_condition,fsm_number,timestamp,q_estimate,q_stategy_scale,q_strategy,subject_age,subject_sex,subject_ethnicity,subject_timeTaken,learning_condition
162,explanation,22.0,2023-03-21T19:20:02.538Z,10.0,guess,I would try to test a few patterns in the training session and memorize their outcomes.,27,Female,Asian,556,Experiment 2 (test preview)
163,explanation,22.0,2023-03-21T19:29:22.021Z,13.0,recall,I would tell them to try and count the number of different emojis and look for patterns.,21,Female,White,423,Experiment 2 (test preview)
164,explanation,22.0,2023-03-21T19:34:59.763Z,10.0,guess,To try to see if there is a patter because I couldn't find one.,24,Female,White,378,Experiment 2 (test preview)
165,explanation,22.0,2023-03-21T19:35:16.766Z,13.0,recall,"Familiarity, memory and observation is required to ace this test.",33,Male,Asian,551,Experiment 2 (test preview)
166,explanation,22.0,2023-03-21T19:37:29.030Z,13.0,rule,"I would suggest they do something different than I did. Be more methodical when going through the testing it out phase. Look at the combination of emoji's to spot a pattern,  not just the emoji and chatbot response.",45,Female,Mixed,666,Experiment 2 (test preview)
167,explanation,22.0,2023-03-21T19:44:01.208Z,10.0,familiarity,It hard to know when the emoji response will change.,30,Male,White,383,Experiment 2 (test preview)
168,explanation,22.0,2023-03-21T19:53:42.775Z,13.0,intuition,to rember the paterns from the ones that where correct and try and guess,25,Male,White,427,Experiment 2 (test preview)
169,explanation,22.0,2023-03-21T19:50:07.612Z,13.0,recall,I would tell them to produce several different patterns of thumbs and hearts and based on the responses remember what responses the bot gives.,20,Female,Black,677,Experiment 2 (test preview)
170,explanation,22.0,2023-03-21T19:53:20.732Z,10.0,intuition,follow the pattern,22,Male,Black,501,Experiment 2 (test preview)
171,explanation,22.0,2023-03-21T19:52:54.264Z,16.0,recall,Focus on doing hearts first and pay attention to which emojis follow the most and then switch to thumbs up and see which emojis follow the most. Then try going back and forth and paying attention to 2 messages ahead to see which emojis come. ,36,Female,White,558,Experiment 2 (test preview)
172,explanation,22.0,2023-03-21T19:49:07.813Z,10.0,rule,Think about how the chatbot responds to an emoji you sent previously. See if the emoji you send now follows a pattern set by the one previously.,18,Male,Other,851,Experiment 2 (test preview)
173,explanation,22.0,2023-03-21T20:04:49.606Z,10.0,intuition,"Pay careful attention to the trend in emoji responses. When unsure, rely on your gut feeling.",28,Female,White,423,Experiment 2 (test preview)
174,explanation,22.0,2023-03-21T20:07:15.672Z,10.0,familiarity,Try to remember the rules from the first task. Maybe even write them down. There were definite patterns but I forgot most of them by the time we got to the testing task,32,Female,White,710,Experiment 2 (test preview)
175,explanation,22.0,2023-03-21T20:11:27.356Z,16.0,rule,Try to find a pattern. ,26,Male,Mixed,397,Experiment 2 (test preview)
176,explanation,22.0,2023-03-21T20:11:20.143Z,13.0,intuition,I would advise them to examine the patterns the best they can and go with their gut.,34,Male,White,439,Experiment 2 (test preview)
177,explanation,22.0,2023-03-21T20:11:35.132Z,13.0,recall,Remember the patterns from the learning phase.,31,Male,White,506,Experiment 2 (test preview)
178,explanation,22.0,2023-03-21T20:05:15.462Z,,familiarity,"Spam one set of options first, then spam the other options. Notate what emojis you see more often, then spam a mix of the two and know that sometimes the chatbots latest response is not effected by your last response but the previous response.",30,Male,Mixed,894,Experiment 2 (test preview)
179,explanation,22.0,2023-03-21T20:06:46.630Z,16.0,rule,"I would advise them to memorize the different combinations and how the chatbot reacts to these combinations. Usually 3 different combinations will produce different results and if you can figure out the pattern, then it will be easier to predict what the chatbot would respond.",31,Male,Asian,784,Experiment 2 (test preview)
180,explanation,22.0,2023-03-21T20:14:18.438Z,10.0,familiarity,Just go with what feels right!,22,Female,White,387,Experiment 2 (test preview)
181,explanation,22.0,2023-03-21T20:12:02.869Z,,familiarity,"I guess if there actually is a pattern to this thing: I would say, pay attention to the first and third responses the bot gives. If they're the same, then the first human response mattered more. But if the first and third responses are different, then the second human response had a greater impact and changed things.",20,Male,White,710,Experiment 2 (test preview)
182,explanation,22.0,2023-03-21T20:14:58.611Z,16.0,rule,Note when an emoji is the same if you use the same response or if it follows a pattern of changing,32,Female,White,577,Experiment 2 (test preview)
183,explanation,22.0,2023-03-21T20:17:32.530Z,13.0,intuition,try to see the changes in emojis from the chatbot then you then the chatbot. if cannot tell just pick blue heart,18,Male,Mixed,430,Experiment 2 (test preview)
184,explanation,22.0,2023-03-21T20:19:07.409Z,,intuition,"I would tell them to go with their gut. Also, imagine that you are the one texting in the conversation. ",31,Male,White,577,Experiment 2 (test preview)
185,explanation,22.0,2023-03-21T20:19:37.949Z,13.0,rule,"repetitions of the same input have less impact the second time, otherwise the heart has more impact.",30,Male,White,507,Experiment 2 (test preview)
186,explanation,22.0,2023-03-21T20:21:23.432Z,10.0,intuition,To be more deliberate in the testing phase. ,27,Female,Mixed,417,Experiment 2 (test preview)
187,explanation,22.0,2023-03-21T20:17:45.424Z,10.0,familiarity,Pay attention to what emojis cause different responses versus the same responses from the chatbot.,29,Female,White,659,Experiment 2 (test preview)
188,explanation,22.0,2023-03-21T20:17:36.713Z,10.0,intuition,I would advise they look for patterns in the chatbot's response based on the question and answer given during the learning phase.,23,Female,White,665,Experiment 2 (test preview)
189,explanation,22.0,2023-03-21T20:25:57.154Z,10.0,guess,Focus on the training part to find a pattern,27,Male,White,379,Experiment 2 (test preview)
190,explanation,22.0,2023-03-21T20:21:59.442Z,13.0,familiarity,Pay attention to what sets of 2 responses seem to correlate with the chatbot's response,21,Male,White,609,Experiment 2 (test preview)
191,explanation,22.0,2023-03-21T20:25:23.365Z,19.0,familiarity,Get familiar with the responses given for each emoji.   The most common responses make the most sense given the context.,38,Male,White,422,Experiment 2 (test preview)
192,explanation,22.0,2023-03-21T20:28:59.820Z,10.0,recall,Put a few of the same emojiis in a row and remember the response patten.,18,Male,White,663,Experiment 2 (test preview)
193,explanation,22.0,2023-03-21T20:27:18.148Z,10.0,intuition,Focus on the order of emoji responses to subsequent inputs that you put in. Try to remember the pattern that occurs when using only one emoji as an input.,33,Male,White,697,Experiment 2 (test preview)
194,explanation,22.0,2023-03-21T20:22:23.891Z,13.0,recall,"Just get a feel for how it responds to your emoticon and if it keeps giving the same response, try to remember which emoticon you used that started it.",38,Male,White,1010,Experiment 2 (test preview)
195,explanation,22.0,2023-03-21T20:33:12.194Z,,guess,Take your best guess as there does not really seem to be a pattern. ,38,Female,White,447,Experiment 2 (test preview)
196,explanation,22.0,2023-03-21T20:34:42.175Z,13.0,familiarity,Find patterns,27,Female,White,454,Experiment 2 (test preview)
197,explanation,22.0,2023-03-21T20:34:32.292Z,13.0,familiarity,Try to find patterns and do your best to recognize when emojis repeat themselves. ,34,Female,White,523,Experiment 2 (test preview)
198,explanation,22.0,2023-03-21T20:35:21.189Z,16.0,rule,"In a lot of the situations, the previous emoji influences the chat robot's decision/response.",21,Female,White,533,Experiment 2 (test preview)
199,explanation,22.0,2023-03-21T20:34:55.536Z,10.0,intuition,I have no advice.,35,Female,White,636,Experiment 2 (test preview)
200,explanation,22.0,2023-03-21T20:25:07.932Z,10.0,intuition,"I would suggest trying to find a pattern in the chatbot responses. If they were not able to do that, use your intuition.",20,Female,White,1200,Experiment 2 (test preview)
201,explanation,22.0,2023-03-21T20:33:55.208Z,10.0,intuition,I would say just go with your gut feeling because I couldn't figure out a pattern at all.,32,Female,Black,952,Experiment 2 (test preview)
202,control,21.0,2023-03-21T21:10:32.794Z,13.0,familiarity,test all patterns,29,Female,Asian,408,Experiment 2 (test preview)
203,control,21.0,2023-03-21T21:28:38.822Z,10.0,recall,It might be best to associate the faces with colors since the hear is blue and the thumb is yellow.,20,Male,White,448,Experiment 2 (test preview)
204,control,21.0,2023-03-21T21:35:26.188Z,13.0,intuition,Good luck. It seems fairly random. ,45,Male,White,517,Experiment 2 (test preview)
205,control,21.0,2023-03-21T21:32:58.284Z,,intuition,"To remember the patterns that are shown, but to not waste too much time thinking about patterns in the test phase because some of the options don't have any patterns",22,Female,White,698,Experiment 2 (test preview)
206,control,21.0,2023-03-21T21:40:00.458Z,16.0,rule,look for a pattern/repetition ,24,Female,White,610,Experiment 2 (test preview)
207,control,21.0,2023-03-21T21:41:15.387Z,10.0,familiarity,Remember the patterns,24,Female,White,523,Experiment 2 (test preview)
208,control,21.0,2023-03-21T21:41:40.534Z,13.0,rule,Notice which emojis the bot responds with most often for both options in different contexts. Try pressing the same one several times as well.,22,Female,Mixed,554,Experiment 2 (test preview)
209,control,21.0,2023-03-21T21:54:38.005Z,16.0,recall,find out which thumbs up gets a different reaction since the heart gets a different reaction every time but usually the thumb gets a repeat,30,Male,White,747,Experiment 2 (test preview)
210,control,21.0,2023-03-21T21:58:24.490Z,10.0,recall,"Focus to try to recall messages from the first phase, in my opinion there is no benefit on looking for a pattern.",19,Male,White,605,Experiment 2 (test preview)
211,control,21.0,2023-03-21T21:57:05.989Z,13.0,rule,pay attention to how the two emojis react to cause different patterns than each single emoji on their own.,29,Female,White,655,Experiment 2 (test preview)
212,control,21.0,2023-03-21T22:01:29.185Z,13.0,familiarity,Try everything in the learning stage; any pattern that you can think of.,20,Female,Asian,694,Experiment 2 (test preview)
213,control,21.0,2023-03-21T22:13:38.258Z,10.0,rule,"To pay attention to what emojis garner what response most often, and if you send the same emoji twice in a row or more, if it responds the same each time or strays",24,Female,White,558,Experiment 2 (test preview)
214,control,21.0,2023-03-21T22:16:08.405Z,10.0,familiarity,Note what faces change depending on which emoji you choose,19,Male,Mixed,500,Experiment 2 (test preview)
215,control,21.0,2023-03-21T22:12:37.314Z,13.0,recall,"Notice how loops work, and which emojis produce which sequences or loops when repeated. Try to find general patterns.",33,Male,White,740,Experiment 2 (test preview)
216,control,21.0,2023-03-21T22:18:35.533Z,10.0,familiarity,I would advise them to pay close attention,20,Female,Mixed,479,Experiment 2 (test preview)
217,control,21.0,2023-03-21T22:15:04.804Z,13.0,rule,"Heart=different response, thumb=same response, but the examples in the test don't follow the rules so you have to ignore some of ""your responses"" and just follow the rule to get the chatbot to answer correctly",40,Female,White,746,Experiment 2 (test preview)
218,control,21.0,2023-03-21T22:15:50.214Z,16.0,intuition,I would explain to my friend that there may be a pattern associated with the emojis when you use a certain pattern of responses. I believe using your memory to remember the output emojis could perhaps be the best way to excel at the test task. Trying various combinations of emojis would be very helpful during the test.,32,Male,Other,713,Experiment 2 (test preview)
219,control,21.0,2023-03-21T22:18:28.869Z,10.0,recall,write down the conversation in a piece of paper and look for patterns.,23,Male,Other,872,Experiment 2 (test preview)
220,control,21.0,2023-03-21T22:24:54.692Z,19.0,rule,"If you want to change the chatbot's output, it will randomly choose an emoji if you input heart. If you want to keep the chatbot's output the same, in most instances, it will use the same emoji after you use a thumbs up. However, the chatbot will always go from winking to a shocked face, no matter your input in between.",33,Female,White,849,Experiment 2 (test preview)
221,control,21.0,2023-03-21T22:29:17.310Z,13.0,familiarity,Rely on your memory and also the familiarity of the bot,30,Male,White,537,Experiment 2 (test preview)
222,control,21.0,2023-03-21T22:32:25.855Z,19.0,recall,click each button the whole time between each question,24,Male,Black,584,Experiment 2 (test preview)
223,control,21.0,2023-03-21T22:33:47.210Z,16.0,recall,"Try to make a diagram in your head of where each emoji leads based on your response, and look for fixed points and cycles.",20,Male,White,493,Experiment 2 (test preview)
224,control,21.0,2023-03-21T22:54:00.694Z,13.0,familiarity,"I would say the best way to do it is write out a decision tree for each response and record the results, than consult with your findings.",36,Male,White,647,Experiment 2 (test preview)
225,control,21.0,2023-03-21T22:34:37.364Z,19.0,rule,"Each pairing of a message from the chatbot (one of four emojis) and your response (one of two emojis) leads to a specific outcome, either the same emoji every time or an alternating pair of emojis. Try to recognize and remember the outcome for each message/response pair.",20,Female,White,1038,Experiment 2 (test preview)
226,control,21.0,2023-03-21T22:41:39.066Z,10.0,recall,Use lots of different patterns in the practice round part of the study and pay attention to how the chatbot responds.,41,Male,White,657,Experiment 2 (test preview)
227,control,21.0,2023-03-21T22:42:38.496Z,10.0,familiarity,Pay attention to the chatbot responses to the emojis,36,Male,White,630,Experiment 2 (test preview)
228,control,21.0,2023-03-21T22:47:07.070Z,10.0,intuition,I have no advice,32,Female,White,349,Experiment 2 (test preview)
229,control,21.0,2023-03-21T22:45:01.314Z,10.0,rule,Keep track of what the responses are for each emoji.,40,Female,White,511,Experiment 2 (test preview)
230,control,21.0,2023-03-21T22:44:37.035Z,13.0,rule,To use the thumbs up to get the bot to produce the same response and the heart to change it.,40,Female,White,771,Experiment 2 (test preview)
231,control,21.0,2023-03-21T22:48:45.695Z,10.0,familiarity,Pay better attention to the order of the emojis. ,20,Female,White,479,Experiment 2 (test preview)
232,control,21.0,2023-03-21T22:46:44.935Z,13.0,familiarity,remember the sequence that aren't just the same response,26,Male,White,768,Experiment 2 (test preview)
233,control,21.0,2023-03-21T22:51:55.802Z,13.0,recall,String together a few of each emoji consecutively to see the patterns. Then interchange them.,20,Male,White,638,Experiment 2 (test preview)
234,control,21.0,2023-03-21T22:53:20.500Z,,familiarity,I hope you learn something that I didn't.   This was completely random to me and now my brain hurts trying to figure out some kind of pattern.  Or maybe i'm really dumb.  We'll see.  ,44,Male,White,570,Experiment 2 (test preview)
235,control,21.0,2023-03-21T22:51:24.054Z,16.0,familiarity,if it is a shocked emoji then it is most likely a response to thumbs up. the blue heart gets responses that are totally random,42,Male,White,731,Experiment 2 (test preview)
236,control,21.0,2023-03-21T22:54:42.436Z,19.0,recall,watching closely to remember the pattern,24,Female,White,671,Experiment 2 (test preview)
237,control,21.0,2023-03-21T22:55:11.864Z,10.0,rule,See if you can learn a pattern of responses from the chatbot based on the emojis you choose. You can learn a pattern from trying each emoji a few times.,37,Female,White,662,Experiment 2 (test preview)
238,control,21.0,2023-03-21T22:54:25.410Z,13.0,recall,"Try to find a pattern. And if you don't know an answer, go off of your gut.",27,Male,White,867,Experiment 2 (test preview)
239,control,21.0,2023-03-21T22:55:07.672Z,13.0,recall,The best strategy is to just go with your gut instinct,34,Male,DATA_EXPIRED,1238,Experiment 2 (test preview)
240,control,21.0,2023-03-21T23:03:59.303Z,10.0,intuition,go with your gut,33,Female,Black,591,Experiment 2 (test preview)
241,control,21.0,2023-03-21T22:58:48.232Z,10.0,rule,Memorize the relationships between the emoji and memorize the rules. A thumbs up or a heart after one emoji should lead to another.,34,Male,Mixed,1060,Experiment 2 (test preview)
242,control,21.0,2023-03-21T23:06:23.639Z,19.0,rule,"Remember the  patterns of the emoji, and one response comes up more than the other.",45,Female,White,898,Experiment 2 (test preview)
243,control,21.0,2023-03-21T23:12:34.067Z,19.0,rule,I would advise them to pay attention to how the bot responds to the emojis,,Female,Black,1054,Experiment 2 (test preview)
244,prediction,22.0,2023-03-22T19:12:35.391Z,10.0,intuition,Look for any patterns when first chatting with the bot in the test stage.,34,Female,White,562,Experiment 2 (test preview)
245,prediction,22.0,2023-03-22T19:31:15.128Z,10.0,intuition,Pay attention to how it responds to you changing emojis and patterns in it's responses.,20,Female,White,444,Experiment 2 (test preview)
246,prediction,22.0,2023-03-22T19:51:39.656Z,13.0,familiarity,I would advise them to pick up on patterns of different kinds of responses in the learning phase.,20,Female,White,497,Experiment 2 (test preview)
247,prediction,22.0,2023-03-22T19:49:58.901Z,10.0,recall,I didn't figure out many patterns other than that sometimes when i did the thumbs up multiple times i got the glasses face emoji back and sometimes when i did the heart multiple times i get the surprised face emoji back.,26,Male,White,680,Experiment 2 (test preview)
248,prediction,22.0,2023-03-22T19:55:00.826Z,10.0,intuition,to remember,20,Male,Black,641,Experiment 2 (test preview)
249,prediction,22.0,2023-03-22T20:13:12.635Z,,intuition,Just guess,26,Male,White,396,Experiment 2 (test preview)
250,prediction,22.0,2023-03-22T20:15:29.953Z,10.0,familiarity,I don't believe there's a trick to finding out which emoji the bot would send. I would tell them to guess and hope it's right.,21,Female,Mixed,599,Experiment 2 (test preview)
251,prediction,22.0,2023-03-22T20:19:53.711Z,10.0,intuition,Try to remember the patterns from the first phase. ,21,Female,White,499,Experiment 2 (test preview)
252,prediction,22.0,2023-03-22T20:21:01.051Z,10.0,familiarity,The only emoji that gets three in a row is the shocked face.,30,Male,White,609,Experiment 2 (test preview)
253,prediction,22.0,2023-03-22T20:19:38.143Z,10.0,rule,"to test the pattern in the test phase, you cant get it all but you'll get a little of it at least",30,Female,Asian,826,Experiment 2 (test preview)
254,prediction,22.0,2023-03-22T20:24:41.085Z,10.0,recall,Test different interactions quickly because I ran out of time thinking about the patterns.,22,Male,Asian,617,Experiment 2 (test preview)
255,prediction,22.0,2023-03-22T20:31:02.933Z,10.0,intuition,"I would focus on the patterns of the emojis you send, and how the bot responds to it",25,Female,Asian,419,Experiment 2 (test preview)
256,prediction,22.0,2023-03-22T20:29:18.342Z,13.0,recall,Hearts mostly resulted in shocked face. Thumbs up cycled mostly evenly through the 3 other choices.,24,Female,White,673,Experiment 2 (test preview)
257,prediction,22.0,2023-03-22T20:35:55.004Z,10.0,recall,Try to repeat patterns in the learning phase as much as you can. Otherwise just try to go with your gut,27,Female,White,602,Experiment 2 (test preview)
258,prediction,22.0,2023-03-22T20:37:35.792Z,13.0,intuition,The bot is surprised when you heart it,20,Male,White,361,Experiment 2 (test preview)
259,prediction,22.0,2023-03-22T20:35:16.343Z,10.0,guess,"Try your best to find a pattern in the responses. If you're unable to, just give your best guess. ",29,Male,White,580,Experiment 2 (test preview)
260,prediction,22.0,2023-03-22T20:37:10.437Z,13.0,recall,the chatbot has a tendency to repeat responses if your response is the same. Otherwise switch it up. ,47,Male,White,539,Experiment 2 (test preview)
261,prediction,22.0,2023-03-22T20:38:26.417Z,10.0,intuition,go with your gut,43,Male,White,478,Experiment 2 (test preview)
262,prediction,22.0,2023-03-22T20:41:16.984Z,16.0,intuition,To just trust his gut. ,27,Male,White,316,Experiment 2 (test preview)
263,prediction,22.0,2023-03-22T20:38:14.797Z,13.0,familiarity,I would just say to try and remember the past conversations you had with the chatbot as well as using your intuition.,23,Female,Asian,555,Experiment 2 (test preview)
264,prediction,22.0,2023-03-22T20:39:26.058Z,10.0,recall,"Ascertain which responses cause an emoji to repeat, then you know what to expect for 50% of the responses. Then the other half is about memory and pattern. ",25,Female,Mixed,534,Experiment 2 (test preview)
265,prediction,22.0,2023-03-22T20:41:12.277Z,10.0,rule,"To look for a pattern, and if you can't find one quickly, to guess.",31,Male,White,449,Experiment 2 (test preview)
266,prediction,22.0,2023-03-22T20:41:23.350Z,13.0,recall,"Test various patterns, and try to memorize them. Also, at the same time, try to figure out the rule. For the actual test, recall what was memorized. If not sure, try to apply the rule that was found.",39,Male,Asian,535,Experiment 2 (test preview)
267,prediction,22.0,2023-03-22T20:32:46.992Z,10.0,familiarity,i would ask my friend to rely on familiarity from the learning phase and see how bot responds to repeative same messages.,33,Male,Asian,1195,Experiment 2 (test preview)
268,prediction,22.0,2023-03-22T20:42:51.629Z,16.0,recall,"Sunglasses and surprised face often repeat, while laughing alternates with the other emojis.",38,Male,White,561,Experiment 2 (test preview)
269,prediction,22.0,2023-03-22T20:41:08.934Z,10.0,rule,Try your best to find a pattern with just hearts.  Then try to find the thumbs up pattern.,30,Female,Asian,660,Experiment 2 (test preview)
270,prediction,22.0,2023-03-22T20:41:17.045Z,10.0,recall,Study how the bot reacts to your inputs and test if your theory holds water.,23,Male,White,789,Experiment 2 (test preview)
271,prediction,22.0,2023-03-22T20:44:04.479Z,10.0,guess,dont think about it because im pretty sure its random,26,Female,DATA_EXPIRED,506,Experiment 2 (test preview)
272,prediction,22.0,2023-03-22T20:45:54.101Z,13.0,rule,"Look for patterns and if you can't find that, guess?",38,Female,Mixed,565,Experiment 2 (test preview)
273,prediction,22.0,2023-03-22T20:45:28.009Z,10.0,intuition,use gut instinct,40,Male,Asian,542,Experiment 2 (test preview)
274,prediction,22.0,2023-03-22T20:47:15.631Z,13.0,intuition,"I would advise relying on memory and intuition, and focusing on patterns. ",21,Female,White,483,Experiment 2 (test preview)
275,prediction,22.0,2023-03-22T20:48:51.229Z,10.0,recall,"To pay close attention to the responses to each emoji sent. Sometimes sending the same one multiple times in a row changes the response, so pay attention!
",37,Female,Mixed,485,Experiment 2 (test preview)
276,prediction,22.0,2023-03-22T20:50:04.475Z,10.0,familiarity,Try to memorize the patterns,24,Female,White,548,Experiment 2 (test preview)
277,prediction,22.0,2023-03-22T20:44:10.076Z,13.0,intuition,"I would tell them to just go with their gut, and don't stress it to much.",20,Male,White,1040,Experiment 2 (test preview)
278,prediction,22.0,2023-03-22T20:54:40.087Z,10.0,intuition,try and remember the pattern ,32,Female,White,440,Experiment 2 (test preview)
279,prediction,22.0,2023-03-22T20:56:49.162Z,13.0,rule,"I would advise them to understand the rate of which the Chatbot uses when responding to one of my emojis. For example, I noticed that the Chatbot wouldn't use the shock emote for one of the options, so I kept that observation in mind and applied it to the actual questions.",18,Male,Asian,538,Experiment 2 (test preview)
280,prediction,22.0,2023-03-22T20:56:17.525Z,16.0,recall,"Take your time when learning the chatbot, so that you can rely on patterns and memorization. ",47,Male,White,699,Experiment 2 (test preview)
281,prediction,22.0,2023-03-22T20:53:06.671Z,10.0,intuition,"I would advise to look for a pattern, or what emoji corresponds with what emoji. I would also use the test function extensively to familiarize themself with the chatbot's use of emojis in response to those you have to use.",27,Male,White,955,Experiment 2 (test preview)
282,prediction,22.0,2023-03-22T20:56:10.907Z,10.0,rule,Try to record every selection and result you make in the 45 practice questions and then when you are taking the test look for pattern recognition in what you recorded (or the opposite thereof if no pattern is present for a question). When in doubt just guess.,42,Male,White,811,Experiment 2 (test preview)
283,prediction,22.0,2023-03-22T20:57:07.846Z,10.0,familiarity,take note of the patterns you see & the how some patterns repeat themselves with certain emojis. ,36,Female,White,861,Experiment 2 (test preview)
284,control,22.0,2023-03-22T21:58:42.583Z,10.0,recall,The heart emoji gets a mostly consistent response compared to the thumbs up,19,Female,White,538,Experiment 2 (test preview)
285,control,22.0,2023-03-22T22:02:54.475Z,10.0,familiarity,"Try and see if you can recognize patterns within the system. There are only four responses from it, but there are so many combinations of interactions.",25,Female,White,766,Experiment 2 (test preview)
286,control,22.0,2023-03-22T22:12:03.626Z,16.0,rule,"You will only get the surprised face emoji in response to a heart. As soon as you switch back to the thumb's up, you'll get one of the other three emojis in reply.",32,Female,White,689,Experiment 2 (test preview)
287,control,22.0,2023-03-22T22:12:03.905Z,16.0,intuition,"Just go with your gut, it's fun ",26,Female,White,732,Experiment 2 (test preview)
288,control,22.0,2023-03-22T22:29:17.801Z,13.0,intuition,To respond how you would in a real life conversation,27,Female,Other,433,Experiment 2 (test preview)
289,control,22.0,2023-03-22T22:28:21.499Z,10.0,intuition,Pay attention to patterns in the first learning phase,27,Female,White,822,Experiment 2 (test preview)
290,control,22.0,2023-03-22T22:29:54.217Z,13.0,recall,Try to create a flowchart in your mind of what responses will be generated from specific emojis.,25,Female,Asian,812,Experiment 2 (test preview)
291,control,22.0,2023-03-22T22:38:42.438Z,13.0,familiarity,Look for patterns outside of just one above the other,25,Female,White,627,Experiment 2 (test preview)
292,control,22.0,2023-03-22T22:36:42.918Z,10.0,intuition,Try to figure out if there is a pattern between the sequence of emojis that the computer uses.,46,Female,White,716,Experiment 2 (test preview)
293,control,22.0,2023-03-22T22:39:25.384Z,10.0,rule,"The bot is more likely to respond with certain emojis when given a particular emoji, however it is not always guaranteed which emoji will be given out.",23,Male,Asian,669,Experiment 2 (test preview)
294,control,22.0,2023-03-22T22:39:33.575Z,,guess,I have no idea how to excel at this task. It seemed very random and I did not notice a pattern.,29,Female,White,808,Experiment 2 (test preview)
295,control,22.0,2023-03-22T22:45:15.009Z,13.0,recall,Keep track of the responses in both patterns of individual and two responses combined together to find all possible patterns and their respective output.,19,Male,Mixed,524,Experiment 2 (test preview)
296,control,22.0,2023-03-22T22:45:05.616Z,10.0,rule,Try to follow your intuition.,37,Male,Asian,628,Experiment 2 (test preview)
297,control,22.0,2023-03-22T22:50:50.050Z,13.0,recall,Remember the pattern,34,Female,White,330,Experiment 2 (test preview)
298,control,22.0,2023-03-22T22:50:47.815Z,10.0,intuition,You have to figure out which response will cause the chatbot to give certain answers,27,Female,White,807,Experiment 2 (test preview)
299,control,22.0,2023-03-22T22:55:31.754Z,10.0,familiarity,Try and remember from the learning phase.,19,Female,Asian,487,Experiment 2 (test preview)
300,control,22.0,2023-03-22T23:00:04.538Z,10.0,guess,I think the emojis change every time you switch between heart and thumbs up but overall it seems very random,23,Female,White,444,Experiment 2 (test preview)
301,control,22.0,2023-03-22T22:55:20.602Z,10.0,familiarity,To try out as many combinations with the emojis to find a pattern that the computer chat is doing,28,Female,Other,844,Experiment 2 (test preview)
302,control,22.0,2023-03-22T23:03:11.054Z,13.0,familiarity,Pick up on patterns used after 2 or 3 responses to see what the chatbot does,31,Female,White,573,Experiment 2 (test preview)
303,control,22.0,2023-03-22T23:04:09.266Z,10.0,familiarity,Attempt to uncover the pattern. If you can't look for specific emojis for the responses. ,20,Female,White,461,Experiment 2 (test preview)
304,control,22.0,2023-03-22T23:04:49.570Z,10.0,intuition,"Try to notice a pattern. Most seem random, but I think a couple responses are predictable.",46,Female,White,501,Experiment 2 (test preview)
305,control,22.0,2023-03-22T23:04:41.648Z,13.0,intuition,Try to pay attention to which emojis go together,27,Female,White,561,Experiment 2 (test preview)
306,control,22.0,2023-03-22T23:06:44.380Z,10.0,recall,Write stuff down.,39,Male,White,650,Experiment 2 (test preview)
307,control,22.0,2023-03-22T23:09:16.025Z,13.0,intuition,"Keep note of the patterns, or sets, of the emojis and how many appear in a sequence. ",35,Male,Other,547,Experiment 2 (test preview)
308,control,22.0,2023-03-22T23:13:01.598Z,10.0,familiarity,"I would tell my friend that if you added a heart, it would show a guy with glasses or a mouth open. and a thumbs up would show a tongue out and x eyes emoji ",22,Male,White,560,Experiment 2 (test preview)
309,control,22.0,2023-03-22T23:20:33.839Z,10.0,recall,To pay close attention to the AI's patterns. ,26,Female,White,1038,Experiment 2 (test preview)
310,control,22.0,2023-03-22T23:21:37.310Z,13.0,intuition,To trust their gut and use intuition to answer. ,21,Male,Asian,617,Experiment 2 (test preview)
311,control,22.0,2023-03-22T23:23:27.708Z,16.0,familiarity,spam one emote with every face and see the outcomes and trey to remember that ,26,Male,Mixed,751,Experiment 2 (test preview)
312,control,22.0,2023-03-22T23:23:04.081Z,10.0,familiarity,I would advise that they take into consideration the fact that combinations of responses can affect the chat bot's responses.,27,Male,Mixed,717,Experiment 2 (test preview)
313,control,22.0,2023-03-22T23:29:40.494Z,13.0,familiarity,"The hearts usually indicate a surprised or tongue out emoji, the thumbs up is usually anything else.",19,Male,White,410,Experiment 2 (test preview)
314,control,22.0,2023-03-22T23:29:21.968Z,,rule,Look at the previous emojis to see what emoji invoked a specific response from it. There is a pattern.,29,Male,Black,575,Experiment 2 (test preview)
315,control,22.0,2023-03-22T23:32:57.981Z,13.0,recall,To pay attention to the reactions of the emojis per selection,28,Male,Mixed,384,Experiment 2 (test preview)
316,control,22.0,2023-03-22T23:33:15.684Z,13.0,recall,You should look for what the buttons do as operators instead of emojis. ,22,Male,White,452,Experiment 2 (test preview)
317,control,22.0,2023-03-22T23:35:36.237Z,10.0,intuition,"Really try to test different patterns and switching between the emojis! I did a lot of testing using the same emoji in a row but didn't get the switching rules
",29,Male,White,536,Experiment 2 (test preview)
318,control,22.0,2023-03-22T23:35:16.342Z,10.0,familiarity,To pay attention to the reactions from the start and notice the difference emojis when selecting only one option at a time and not alternating his emoji's .,32,Male,White,547,Experiment 2 (test preview)
319,control,22.0,2023-03-22T23:43:43.778Z,10.0,recall,"Try to learn a pattern and follow it, because there seemed to be one.",23,Male,Asian,421,Experiment 2 (test preview)
